outcome,action,TPR,FPR,ANS,eventTime
"red",WAIT,15,91,0.2,1041.98
"red",WAIT,15,91,0.2,1055.079
"red",WAIT,15,91,0.2,1090.151
"blue",WAIT,15,91,0.2,1104.978
"red",WAIT,15,91,0.2,1137.07
"red",WAIT,15,91,0.2,1154.022
"blue",WAIT,15,91,0.2,1186.103
"red",WAIT,15,91,0.2,1204.11
"blue",WAIT,15,91,0.2,1223.486
"red",WAIT,15,91,0.2,1242.979
"red",WAIT,15,91,0.2,1263.113
"red",WAIT,15,91,0.2,1295.978
"blue",WAIT,15,91,0.2,1313.029
"red",WAIT,15,91,0.2,1365.978
"red",WAIT,15,91,0.2,1416.166
"red",WAIT,15,91,0.2,1430.102
"red",WAIT,15,91,0.2,1466.978
"blue",WAIT,15,91,0.2,1486.021
"red",WAIT,15,91,0.2,1499.082
"red",WAIT,15,91,0.2,1547.978
"red",WAIT,15,91,0.2,1565.091
"red",WAIT,15,91,0.2,1593.291
"red",WAIT,15,91,0.2,1645.145
"red",WAIT,15,91,0.2,1675.201
"red",WAIT,15,91,0.2,1689.144
"blue",WAIT,15,91,0.2,1719.185
"red",WAIT,15,91,0.2,1798.988
"blue",WAIT,15,91,0.2,1853.096
"red",WAIT,15,91,0.2,1871.978
"red",WAIT,15,91,0.2,1889.027
"red",WAIT,15,91,0.2,1924.004
"blue",WAIT,15,91,0.2,1957.14
"red",WAIT,15,91,0.2,2002.005
"red",WAIT,15,91,0.2,2038.076
"red",WAIT,15,91,0.2,2087.045
"red",WAIT,15,91,0.2,2106.978
"red",WAIT,15,91,0.2,2124.983
"red",WAIT,15,91,0.2,2153.008
"red",WAIT,15,91,0.2,2167.172
"red",WAIT,15,91,0.2,2186.978
"red",WAIT,15,91,0.2,2203.978
"red",WAIT,15,91,0.2,2218.393
"red",WAIT,15,91,0.2,2232.978
"red",WAIT,15,91,0.2,2265.978
"red",WAIT,15,91,0.2,2284.978
"red",WAIT,15,91,0.2,2298.085
"red",WAIT,15,91,0.2,2331.102
"red",WAIT,15,91,0.2,2360.038
"red",WAIT,15,91,0.2,2395.978
"red",WAIT,15,91,0.2,2426.978
"blue",WAIT,15,91,0.2,2475.984
"blue",WAIT,15,91,0.2,79.421
"red",WAIT,15,91,0.2,91.052
"red",WAIT,15,91,0.2,106.876
"red",WAIT,15,91,0.2,155.094
"red",WAIT,15,91,0.2,190.978
"red",WAIT,15,91,0.2,248.978
"red",WAIT,15,91,0.2,264.978
"red",WAIT,15,91,0.2,284.038
"red",WAIT,15,91,0.2,298.978
"red",WAIT,15,91,0.2,319.113
"red",WAIT,15,91,0.2,352.978
"blue",WAIT,15,91,0.2,368.113
"red",WAIT,15,91,0.2,432.978
"red",WAIT,15,91,0.2,447.983
"red",WAIT,15,91,0.2,491.978
"red",WAIT,15,91,0.2,508.072
"red",WAIT,15,91,0.2,526.006
"red",WAIT,15,91,0.2,554.091
"red",WAIT,15,91,0.2,572.978
"red",WAIT,15,91,0.2,588.978
"red",WAIT,15,91,0.2,602.978
"red",WAIT,15,91,0.2,641.978
"red",WAIT,15,91,0.2,655.978
"red",WAIT,15,91,0.2,706.978
"red",WAIT,15,91,0.2,724.079
"red",WAIT,15,91,0.2,778.262
"red",WAIT,15,91,0.2,829.134
"red",WAIT,15,91,0.2,887.978
"red",WAIT,15,91,0.2,922.989
"red",WAIT,15,91,0.2,941.002
"red",WAIT,15,91,0.2,954.978
"red",WAIT,15,91,0.2,972.19
"red",WAIT,15,91,0.2,1021.978
"red",WAIT,15,91,0.2,1053.978
"red",WAIT,15,91,0.2,1068.041
"blue",WAIT,15,91,0.2,1084.978
"red",WAIT,15,91,0.2,1118.978
"red",WAIT,15,91,0.2,1139.151
"red",WAIT,15,91,0.2,1173.978
"red",WAIT,15,91,0.2,1206.978
"red",WAIT,15,91,0.2,1223.087
"red",WAIT,15,91,0.2,1242.992
"red",WAIT,15,91,0.2,1259.027
"red",WAIT,15,91,0.2,1276.008
"red",WAIT,15,91,0.2,1292.154
"red",WAIT,15,91,0.2,1325.169
"red",WAIT,15,91,0.2,1342.03
"red",WAIT,15,91,0.2,1358.007
"red",WAIT,15,91,0.2,1394.054
"red",WAIT,15,91,0.2,1448.978
"red",WAIT,15,91,0.2,1501.978
"red",WAIT,15,91,0.2,1533.978
"red",WAIT,15,91,0.2,1571.982
"red",WAIT,15,91,0.2,1621.048
"red",WAIT,15,91,0.2,1650.978
"red",WAIT,15,91,0.2,1671.087
"red",WAIT,15,91,0.2,1686.148
"red",WAIT,15,91,0.2,1718.978
"red",WAIT,15,91,0.2,1755.164
"red",WAIT,15,91,0.2,1771.978
"red",WAIT,15,91,0.2,1789.132
"red",WAIT,15,91,0.2,1807.978
"red",WAIT,15,91,0.2,1855.995
"red",WAIT,15,91,0.2,1888.163
"red",WAIT,15,91,0.2,1918.979
"red",WAIT,15,91,0.2,1952.978
"red",WAIT,15,91,0.2,1985.978
"red",WAIT,15,91,0.2,1999.978
"red",WAIT,15,91,0.2,2016.978
"red",WAIT,15,91,0.2,2050.028
"red",WAIT,15,91,0.2,2081.991
"red",WAIT,15,91,0.2,2098.005
"red",WAIT,15,91,0.2,2130.068
"blue",WAIT,15,91,0.2,2162.978
"red",WAIT,15,91,0.2,2182.039
"red",WAIT,15,91,0.2,2198.04
"blue",WAIT,15,91,0.2,2250.978
"red",WAIT,15,91,0.2,2278.313
"red",WAIT,15,91,0.2,2311.978
"red",WAIT,15,91,0.2,2378.978
"red",WAIT,15,91,0.2,2395.978
"blue",WAIT,15,91,0.2,2482.094
"red",WAIT,15,91,0.2,25.099
"red",WAIT,15,91,0.2,43.103
"red",WAIT,15,91,0.2,59.338
"red",WAIT,15,91,0.2,78.142
"red",WAIT,15,91,0.2,111.121
"blue",WAIT,15,91,0.2,127.236
"red",WAIT,15,91,0.2,142.978
"red",WAIT,15,91,0.2,177.096
"red",WAIT,15,91,0.2,197.062
"red",WAIT,15,91,0.2,233.106
"red",WAIT,15,91,0.2,266.978
"red",WAIT,15,91,0.2,283.978
"red",WAIT,15,91,0.2,301.978
"red",WAIT,15,91,0.2,335.194
"red",WAIT,15,91,0.2,354.978
"red",WAIT,15,91,0.2,374.27
"red",WAIT,15,91,0.2,393.354
"red",WAIT,15,91,0.2,412.037
"red",WAIT,15,91,0.2,472.362
"red",WAIT,15,91,0.2,488.161
"red",WAIT,15,91,0.2,505.054
"red",WAIT,15,91,0.2,518.978
"red",WAIT,15,91,0.2,536.02
"blue",WAIT,15,91,0.2,567.286
"red",WAIT,15,91,0.2,582.386
"red",WAIT,15,91,0.2,597.062
"red",WAIT,15,91,0.2,614.978
"red",WAIT,15,91,0.2,642.978
"blue",WAIT,15,91,0.2,692.058
"blue",WAIT,15,91,0.2,707.982
"red",WAIT,15,91,0.2,721.255
"red",WAIT,15,91,0.2,737.157
"red",WAIT,15,91,0.2,756.216
"red",WAIT,15,91,0.2,773.978
"blue",WAIT,15,91,0.2,791.978
"red",WAIT,15,91,0.2,806.978
"red",WAIT,15,91,0.2,844.1
"red",WAIT,15,91,0.2,858.978
"red",WAIT,15,91,0.2,876.978
"red",WAIT,15,91,0.2,890.045
"red",WAIT,15,91,0.2,940.211
"red",WAIT,15,91,0.2,972.299
"red",WAIT,15,91,0.2,986.978
